Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
riviera-carre-conique-taupe,,,,,,,,M - 44 x 44 cm - Hauteur 41 cm,,,,,"",,,1,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/riviera-taupe_2c1b0c08-0990-4793-8fad-95ff39050768.jpeg?v=1456433991,Pot riviera Carré conique taupe,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-taupe_9b90f6c7-630c-444e-9ceb-68c71f0c45d5.jpeg?v=1456433991,kg,
riviera-carre-conique-gris,Carré Riviera Noir,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Riviera - réserve d'eau</span></h4>
<p>Fabriqué en résine de synthèse de haute qualité, le bac “Riviera” ne craint ni soleil, ni gel. Il n’y a pas d’évaporation par les parois poreuses évitant ainsi de refroidir la terre, et de tuer les radicelles. L’hydrosystem RIVIERA permet l’hydratation des plantes par remontée capillaire de l’eau vers la terre. L’humidité reste constante et régulière conformément aux besoins de la plante. Entre l’eau et la plante, une grille toilée munie de grandes alvéoles, laisse passer l’air dont les racines ont besoin. La toile imputrescible maintient le terreau sans risque d’obstruction. Sa texture empêche les racines de traverser la grille et permet un meilleur rempotage. La nature spéciale des fibres de la toile assure la régulation de la vitesse de remontée de l’eau et sa diffusion uniforme dans le terreau (quelle que soit la composition de ce dernier).Un voyant situé sur le côté permet en un clin d’oeil de vérifier le niveau d’eau.Ce système évite tout risque d’inondation au moment du remplissage.En cas d’utilisation extérieure, il faut percer la colonne de trop plein située sous les bacs</p>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Riviera_large.png?2946902858807963042"" alt="""">
</div>",ParisPousse,Pot,pot,true,Taille,S - 35 x 35 cm - Hauteur 33 cm,,,,,"",,,1,continue,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-gris_a82204a7-609e-48fa-ada0-4b5f722f1a8a.jpeg?v=1456433984,Pot riviera Carré conique gris,false,Livraison à domicile d'un pot à réserve d'eau Riviera carré et noir,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-gris_a82204a7-609e-48fa-ada0-4b5f722f1a8a.jpeg?v=1456433984,kg,
riviera-carre-conique-gris,,,,,,,,M - 44 x 44 cm - Hauteur 41 cm,,,,,"",,,0,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/riviera-noir_a7f263c8-d1b9-42ee-bc5c-57e03ca52bcf.jpeg?v=1456433984,Pot riviera Carré conique gris,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-gris_a82204a7-609e-48fa-ada0-4b5f722f1a8a.jpeg?v=1456433984,kg,
riviera-carre-conique-gris,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/buis-boule--carre-conique_db78ce4d-1806-4d74-b23f-266767175fbb.jpeg?v=1456433984,Pot riviera Carré conique gris,,,,,,,,,,,,,,,,,,,
riviera-carre-conique-rouge,Carré Riviera Rouge,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Riviera - réserve d'eau</span></h4>
<p>Fabriqué en résine de synthèse de haute qualité, le bac “Riviera” ne craint ni soleil, ni gel. Il n’y a pas d’évaporation par les parois poreuses évitant ainsi de refroidir la terre, et de tuer les radicelles. L’hydrosystem RIVIERA permet l’hydratation des plantes par remontée capillaire de l’eau vers la terre. L’humidité reste constante et régulière conformément aux besoins de la plante. Entre l’eau et la plante, une grille toilée munie de grandes alvéoles, laisse passer l’air dont les racines ont besoin. La toile imputrescible maintient le terreau sans risque d’obstruction. Sa texture empêche les racines de traverser la grille et permet un meilleur rempotage. La nature spéciale des fibres de la toile assure la régulation de la vitesse de remontée de l’eau et sa diffusion uniforme dans le terreau (quelle que soit la composition de ce dernier).Un voyant situé sur le côté permet en un clin d’oeil de vérifier le niveau d’eau.Ce système évite tout risque d’inondation au moment du remplissage.En cas d’utilisation extérieure, il faut percer la colonne de trop plein située sous les bacs</p>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Riviera_large.png?2946902858807963042"" alt="""">
</div>",ParisPousse,Pot,pot,true,Taille,S - 35 x 35 cm - Hauteur 33 cm,,,,,"",,,1,continue,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-rouge_41b3f82f-d6d3-4670-82bb-22632fa2a642.jpeg?v=1456433978,Pot riviera Carré conique rouge,false,Livraison à domicile d'un pot à réserve d'eau Riviera carré et rouge,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-rouge_41b3f82f-d6d3-4670-82bb-22632fa2a642.jpeg?v=1456433978,kg,
riviera-carre-conique-rouge,,,,,,,,M - 44 x 44 cm - Hauteur 41 cm,,,,,"",,,1,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/riviera-rouge_0007aa9f-1c12-422d-98f4-e271c2d4d45b.jpeg?v=1456433978,Pot riviera Carré conique rouge,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-rouge_41b3f82f-d6d3-4670-82bb-22632fa2a642.jpeg?v=1456433978,kg,
riviera-carre-conique-rouge,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/olivier--carre-conique.jpeg?v=1456433978,Pot riviera Carré conique rouge,,,,,,,,,,,,,,,,,,,
riviera-carre-conique-haut-taupe,Carré Riviera Haut Taupe,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Riviera - réserve d'eau</span></h4>
<p>Fabriqué en résine de synthèse de haute qualité, le bac “Riviera” ne craint ni soleil, ni gel. Il n’y a pas d’évaporation par les parois poreuses évitant ainsi de refroidir la terre, et de tuer les radicelles. L’hydrosystem RIVIERA permet l’hydratation des plantes par remontée capillaire de l’eau vers la terre. L’humidité reste constante et régulière conformément aux besoins de la plante. Entre l’eau et la plante, une grille toilée munie de grandes alvéoles, laisse passer l’air dont les racines ont besoin. La toile imputrescible maintient le terreau sans risque d’obstruction. Sa texture empêche les racines de traverser la grille et permet un meilleur rempotage. La nature spéciale des fibres de la toile assure la régulation de la vitesse de remontée de l’eau et sa diffusion uniforme dans le terreau (quelle que soit la composition de ce dernier).Un voyant situé sur le côté permet en un clin d’oeil de vérifier le niveau d’eau.Ce système évite tout risque d’inondation au moment du remplissage.En cas d’utilisation extérieure, il faut percer la colonne de trop plein située sous les bacs</p>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Riviera_large.png?2946902858807963042"" alt="""">
</div>",ParisPousse,Pot,pot,true,Taille,S - 29 x 29 cm - Hauteur 52 cm,,,,,"",,,1,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-riviera-taupe_8bc8d456-aa3a-471a-b6cd-90f7e84b3343.jpeg?v=1456433970,Pot riviera carré conique taupe,false,Livraison à domicile d'un pot à réserve d'eau Riviera carré haut,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-riviera-taupe_8bc8d456-aa3a-471a-b6cd-90f7e84b3343.jpeg?v=1456433970,kg,
riviera-carre-conique-haut-taupe,,,,,,,,M - 38 x 38 cm - Hauteur 69 cm,,,,,"",,,1,continue,manual,129.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/riviera-taupe_e239b230-36f2-4354-838a-bda21a2f7971.jpeg?v=1456433970,Pot riviera carré conique taupe,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-riviera-taupe_8bc8d456-aa3a-471a-b6cd-90f7e84b3343.jpeg?v=1456433970,kg,
riviera-carre-conique-haut-gris,Carré Riviera Haut Noir,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Riviera - réserve d'eau</span></h4>
<p>Fabriqué en résine de synthèse de haute qualité, le bac “Riviera” ne craint ni soleil, ni gel. Il n’y a pas d’évaporation par les parois poreuses évitant ainsi de refroidir la terre, et de tuer les radicelles. L’hydrosystem RIVIERA permet l’hydratation des plantes par remontée capillaire de l’eau vers la terre. L’humidité reste constante et régulière conformément aux besoins de la plante. Entre l’eau et la plante, une grille toilée munie de grandes alvéoles, laisse passer l’air dont les racines ont besoin. La toile imputrescible maintient le terreau sans risque d’obstruction. Sa texture empêche les racines de traverser la grille et permet un meilleur rempotage. La nature spéciale des fibres de la toile assure la régulation de la vitesse de remontée de l’eau et sa diffusion uniforme dans le terreau (quelle que soit la composition de ce dernier).Un voyant situé sur le côté permet en un clin d’oeil de vérifier le niveau d’eau.Ce système évite tout risque d’inondation au moment du remplissage.En cas d’utilisation extérieure, il faut percer la colonne de trop plein située sous les bacs</p>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Riviera_large.png?2946902858807963042"" alt="""">
</div>",ParisPousse,Pot,pot,true,Taille,S - 29 x 29 cm - Hauteur 52 cm,,,,,"",,,1,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-riviera-gris_e22032b8-e5d9-40bb-a666-4a147ec4c10e.jpeg?v=1456433964,Pot riviera carré conique gris,false,Livraison à domicile d'un pot à réserve d'eau Riviera carré haut,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-riviera-gris_e22032b8-e5d9-40bb-a666-4a147ec4c10e.jpeg?v=1456433964,kg,
riviera-carre-conique-haut-gris,,,,,,,,M - 38 x 38 cm - Hauteur 69 cm,,,,,"",,,1,continue,manual,159.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/riviera-noir_c80bfed3-d02d-4693-ad1b-db42ed166b05.jpeg?v=1456433964,Pot riviera carré conique gris,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-riviera-gris_e22032b8-e5d9-40bb-a666-4a147ec4c10e.jpeg?v=1456433964,kg,
riviera-carre-conique-haut-gris,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/olivier--carre-conique-haut-riviera.jpeg?v=1456433964,Pot riviera carré conique gris,,,,,,,,,,,,,,,,,,,
riviera-carre-conique-haut-rouge,Carré Riviera Haut Rouge,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Riviera - réserve d'eau</span></h4>
<p>Fabriqué en résine de synthèse de haute qualité, le bac “Riviera” ne craint ni soleil, ni gel. Il n’y a pas d’évaporation par les parois poreuses évitant ainsi de refroidir la terre, et de tuer les radicelles. L’hydrosystem RIVIERA permet l’hydratation des plantes par remontée capillaire de l’eau vers la terre. L’humidité reste constante et régulière conformément aux besoins de la plante. Entre l’eau et la plante, une grille toilée munie de grandes alvéoles, laisse passer l’air dont les racines ont besoin. La toile imputrescible maintient le terreau sans risque d’obstruction. Sa texture empêche les racines de traverser la grille et permet un meilleur rempotage. La nature spéciale des fibres de la toile assure la régulation de la vitesse de remontée de l’eau et sa diffusion uniforme dans le terreau (quelle que soit la composition de ce dernier).Un voyant situé sur le côté permet en un clin d’oeil de vérifier le niveau d’eau.Ce système évite tout risque d’inondation au moment du remplissage.En cas d’utilisation extérieure, il faut percer la colonne de trop plein située sous les bacs</p>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Riviera_large.png?2946902858807963042"" alt="""">
</div>",ParisPousse,Pot,pot,true,Taille,S - 29 x 29 cm - Hauteur 52 cm,,,,,"",,,1,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-riviera-rouge_a8ab6415-e0c6-4adb-887b-0d1bcdc9a7d6.jpeg?v=1456433957,Pot riviera carré conique rouge ,false,Livraison à domicile d'un pot à réserve d'eau Riviera carré haut,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-riviera-rouge_a8ab6415-e0c6-4adb-887b-0d1bcdc9a7d6.jpeg?v=1456433957,kg,
riviera-carre-conique-haut-rouge,,,,,,,,M - 38 x 38 cm - Hauteur 69 cm,,,,,"",,,1,continue,manual,129.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/riviera-rouge_527a8574-a22a-4cf5-a046-f6f572495973.jpeg?v=1456433957,Pot riviera carré conique rouge ,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-riviera-rouge_a8ab6415-e0c6-4adb-887b-0d1bcdc9a7d6.jpeg?v=1456433957,kg,
riviera-carre-conique-haut-rouge,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cactus--carre-conique-haut-riviera.jpeg?v=1456433957,Pot riviera carré conique rouge ,,,,,,,,,,,,,,,,,,,
riviera-carre-conique-haut-rouge,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cycas-du-japon--carre-conique-haut-riviera.jpeg?v=1456433957,Pot riviera carré conique rouge ,,,,,,,,,,,,,,,,,,,
ravel,Ravel,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Ravel</span></h4>
<p>Les Poteries RAVEL existent depuis 1837 à Aubagne , depuis près de 200 ans elles travaillent l'argile extraite de leur carrière pour proposer une large collection de pots. Ils résistent au gel et aux U.V. Les pots sont percés et livrés avec une soucoupe.</p>
</div>",ParisPousse,Pot,pot,true,Taille,M - Ø 45 cm - Hauteur 50 cm,,,,,"",,,1,continue,manual,159.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/ravel_23a4e602-d990-49ff-bb70-0bb69efa5d51.jpeg?v=1457339430,Ravel,false,Livraison à domicile d'un pot Ravel en terre cuite,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/ravel_23a4e602-d990-49ff-bb70-0bb69efa5d51.jpeg?v=1457339430,kg,
ravel,,,,,,,,L - Ø 57 cm - Hauteur 65 cm,,,,,"",,,0,continue,manual,259.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/aloe-vera--ravel.jpeg?v=1457339430,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/ravel_23a4e602-d990-49ff-bb70-0bb69efa5d51.jpeg?v=1457339430,kg,
ravel,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/palmier-a-chanvre--ravel2.jpeg?v=1457339430,,,,,,,,,,,,,,,,,,,,
ravel,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/palmier-nain--ravel.jpeg?v=1457339430,,,,,,,,,,,,,,,,,,,,
ravel,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/phoenix--ravel.jpeg?v=1457339430,,,,,,,,,,,,,,,,,,,,
ravel,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/philodendron--ravel.jpeg?v=1457339430,,,,,,,,,,,,,,,,,,,,
ravel,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/phormium--ravel_c2f6bd5c-d1d2-4ce3-8e13-2e2f2388859f.jpeg?v=1457339430,,,,,,,,,,,,,,,,,,,,
ravel,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/yucca--ravel.jpeg?v=1457339430,,,,,,,,,,,,,,,,,,,,
fiberstone-carre-conique-haut-gris,Carré Fiberstone Haut Gris,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Fiberstone <br></span></h4>
<p>Le Fiberstone est obtenu à partir d' un mélange spécifique de fibre de verre et de poudre minérale qui lui donne sa résistance ( U.V, gel), sa légèreté ainsi que son aspect lisse et naturel. Les pots en Fiberstone sont moulés puis finis à la main.</p>
</div>",ParisPousse,Pot,pot,true,Taille,S - 33 x 33 cm - Hauteur 75 cm,,,,,"",,,-4,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-fiberstone-gris_3afb101d-c0f6-4ba0-8c73-11064110007c.jpeg?v=1456861569,Fiberstone carré conique haut gris,false,Livraison à domicile d'un pot Fiberstone haut et gris,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-fiberstone-gris_3afb101d-c0f6-4ba0-8c73-11064110007c.jpeg?v=1456861569,kg,
fiberstone-carre-conique-haut-gris,,,,,,,,M - 40 x 40 cm - Hauteur 90 cm,,,,,"",,,1,continue,manual,159.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/sanseveria-mikado--carre-conique-haut-fiberstone.jpeg?v=1456861569,Fiberstone carré conique haut gris,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-fiberstone-gris_3afb101d-c0f6-4ba0-8c73-11064110007c.jpeg?v=1456861569,kg,
fiberstone-carre-conique-haut-noir,Carré Fiberstone Haut Noir,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Fiberstone</span></h4>
<p>Le Fiberstone est obtenu à partir d' un mélange spécifique de fibre de verre et de poudre minérale qui lui donne sa résistance ( U.V, gel), sa légèreté ainsi que son aspect lisse et naturel. Les pots en Fiberstone sont moulés puis finis à la main.</p>
</div>",ParisPousse,Pot,pot,true,Taille,S - 33 x 33 cm - Hauteur 75 cm,,,,,"",,,1,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-fiberstone-noir_94ed7e43-b96f-42d2-86af-f03edd89de9f.jpeg?v=1456433937,Fiberstone carré conique haut noir ,false,Livraison à domicile d'un pot Fiberstone haut et noir,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-fiberstone-noir_94ed7e43-b96f-42d2-86af-f03edd89de9f.jpeg?v=1456433937,kg,
fiberstone-carre-conique-haut-noir,,,,,,,,M - 40 x 40 cm - Hauteur 90 cm,,,,,"",,,-7,continue,manual,159.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/aloe-vera--carre-conique-haut-fiberstone.jpeg?v=1456433937,Fiberstone carré conique haut noir ,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/carre-conique-haut-fiberstone-noir_94ed7e43-b96f-42d2-86af-f03edd89de9f.jpeg?v=1456433937,kg,
fiberstone-carre-conique-haut-noir,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/buis-boule--carre-conique-haut-fiberstone_e1735b08-1ca5-460c-a61d-f3b14c1860d5.jpeg?v=1456433937,Fiberstone carré conique haut noir ,,,,,,,,,,,,,,,,,,,
fiberstone-carre-conique-haut-noir,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/sanseveria--carre-conique-haut-fiberstone.jpeg?v=1456433937,Fiberstone carré conique haut noir ,,,,,,,,,,,,,,,,,,,
terre-vase-vecchio,Vase Vecchio,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Terre naturelle</span></h4>
<p>La plupart de nos poteries viennent de Sinalunga, cette petite localité à l'est de Sienne est connue depuis la Renaissance pour son travail de la terra cotta. Le potier Maurizio Benocci, qui dirige l'entreprise familiale, fabrique les modèles traditionnels de l'artisanat toscan. Toutes nos poteries italiennes sont non-gélives et importées directement de Toscane. Les pots sont percés et livrés avec une soucoupe.</p>
</div>",ParisPousse,Pot,pot,true,Taille,S - Ø 30 cm - Hauteur 39 cm,,,,,"",,,-1,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/vase-vecchio_631421de-32d2-4b9a-9e66-4f36c894d399.jpeg?v=1456433931,Vase Vecchio Terre Naturelle,false,Livraison à domicile d'un Vase Vecchio en terre cuite,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/vase-vecchio_631421de-32d2-4b9a-9e66-4f36c894d399.jpeg?v=1456433931,kg,
terre-vase-vecchio,,,,,,,,M - Ø 40 cm - Hauteur 52 cm,,,,,"",,,-5,continue,manual,139.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/cactus--vase-vecchio.jpeg?v=1456433931,Vase Vecchio Terre Naturelle,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/vase-vecchio_631421de-32d2-4b9a-9e66-4f36c894d399.jpeg?v=1456433931,kg,
terre-vase-vecchio,,,,,,,,L - Ø 50 cm - Hauteur 60 cm,,,,,"",,,-1,continue,manual,249.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/phormium--vase-vecchio_0ebcef83-bdbb-4936-b0c1-124167ac4125.jpeg?v=1456433931,Vase Vecchio Terre Naturelle,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/vase-vecchio_631421de-32d2-4b9a-9e66-4f36c894d399.jpeg?v=1456433931,kg,
terre-vase-vecchio,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/pied-d_elephant-ou-tahiti-bob--vase-vecchio.jpeg?v=1456433931,Vase Vecchio Terre Naturelle,,,,,,,,,,,,,,,,,,,
terre-vase-vecchio,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/yucca--vase-vecchio.jpeg?v=1456433931,Vase Vecchio Terre Naturelle,,,,,,,,,,,,,,,,,,,
terre-vase-vecchio,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/zamioculcas--vase-vecchio.jpeg?v=1456433931,Vase Vecchio Terre Naturelle,,,,,,,,,,,,,,,,,,,
