Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
fibertsone-lotus,,,,,,,,L - Ø 58 cm - Hauteur 50 cm,,,,,"",,,1,continue,manual,139.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/philodendron--lotus.jpeg?v=1457127848,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/lotus_1c8fbd4f-c143-446e-9ab5-aa843afb8a95.jpeg?v=1457127848,kg,
fibertsone-lotus,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/kentia--lotus.jpeg?v=1457127848,,,,,,,,,,,,,,,,,,,,
fibertsone-lotus,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/pied-d_elephant-ou-tahiti-bob--lotus.jpeg?v=1457127848,,,,,,,,,,,,,,,,,,,,
fiberstone-cylindre-noir,Cylindre Fiberstone Noir,"<div style=""text-align: center;"">
<meta charset=""utf-8"">
<h4><span>Comment choisir la bonne taille de pot ?</span></h4>
<img src=""//cdn.shopify.com/s/files/1/1063/7402/files/Choisir_la_bonne_taille_de_poiot_6072726f-dfdb-425a-96f5-7e55aa461009_large.png?12913818830572859085"" alt="""">
<h4><span>La livraison est gratuite</span></h4>
<p>Nous vous contacterons par mail 4 jours avant la livraison afin de vous préciser l'heure de passage.</p>
<h4><span>Fiberstone</span></h4>
<p>Le Fiberstone est obtenu à partir d' un mélange spécifique de fibre de verre et de poudre minérale qui lui donne sa résistance ( U.V, gel), sa légèreté ainsi que son aspect lisse et naturel. Les pots en Fiberstone sont moulés puis finis à la main.</p>
</div>",ParisPousse,Pot,pot,true,Taille,S - Ø 30 cm - Hauteur 30 cm,,,,,"",,,1,continue,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-noir_12fb5b7f-42c3-4fcf-8b36-fab102a9b8b9.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,false,Livraison à domicile d'un pot Cylindre Fiberstone noir,"Plantes et pots design originaux et de qualité à des prix accessibles, directement chez vous.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-noir_12fb5b7f-42c3-4fcf-8b36-fab102a9b8b9.jpeg?v=1456434007,kg,
fiberstone-cylindre-noir,,,,,,,,M - Ø 43 cm - Hauteur 30 cm,,,,,"",,,-1,continue,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/sanseveria-mikado--cylindre.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-noir_12fb5b7f-42c3-4fcf-8b36-fab102a9b8b9.jpeg?v=1456434007,kg,
fiberstone-cylindre-noir,,,,,,,,L - Ø 50 cm - Hauteur 50 cm,,,,,"",,,1,continue,manual,139.00,,true,true,,https://cdn.shopify.com/s/files/1/1063/7402/products/sanseveria--cylindre-noir.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cylindre-noir_12fb5b7f-42c3-4fcf-8b36-fab102a9b8b9.jpeg?v=1456434007,kg,
fiberstone-cylindre-noir,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/palmier-nain--cylindre-noir.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,,,
fiberstone-cylindre-noir,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/kentia--cylindre.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,,,
fiberstone-cylindre-noir,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/fleur-de-lune--cylindre.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,,,
fiberstone-cylindre-noir,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1063/7402/products/cycas-du-japon--cylindre.jpeg?v=1456434007,Pot de fleur fibertsone cylindre noir,,,,,,,,,,,,,,,,,,,
